"all (Estimate, Std. Err, Tval, Pval, N)"	"0.05"	"0.01"	"0.001"	"1e-04"	"1e-05"	"1e-06"	"1e-07"
"Height"	"0.38079, 0.33438, 1.13878, 0.2548, 71013"	"0.13232, 1.81161, 0.07304, 0.94178, 7914"	"-3.06377, 2.27397, -1.34732, 0.17796, 3796"	"-6.7349, 2.36707, -2.84525, 0.00448, 2026"	"-0.25083, 0.39206, -0.63979, 0.52242, 1365"	"-0.00499, 0.00527, -0.94658, 0.34407, 1050"	"-0.001, 0.00527, -0.18952, 0.84973, 841"	"-0.00222, 0.00577, -0.38438, 0.70081, 724"
"Cholesterol"	"0.23745, 0.46162, 0.51439, 0.60698, 70996"	"4.8548, 3.20318, 1.51562, 0.12968, 5113"	"0.12196, 5.44067, 0.02242, 0.98212, 1806"	"-21.69571, 7.38839, -2.93646, 0.00342, 734"	"-0.20207, 0.1735, -1.16468, 0.2448, 429"	"0.0063, 0.01485, 0.42412, 0.67177, 311"	"0.02545, 0.01895, 1.34304, 0.18057, 235"	"0.02949, 0.02065, 1.42781, 0.15494, 198"
"BMI"	"-0.68304, 0.46765, -1.4606, 0.14413, 71013"	"-3.91859, 2.96329, -1.32238, 0.18609, 6078"	"-4.31617, 4.89608, -0.88156, 0.37811, 2259"	"-1.36809, 2.6411, -0.518, 0.60459, 853"	"-0.02587, 0.02615, -0.98918, 0.32312, 437"	"-0.00639, 0.01013, -0.63089, 0.52866, 262"	"0.00659, 0.00862, 0.76412, 0.44585, 173"	"0.00641, 0.01019, 0.62881, 0.53068, 121"
"Asthma"	"-0.26005, 0.2705, -0.96137, 0.33637, 69888"	"-2.63537, 3.39488, -0.77628, 0.43763, 4276"	"-9.25576, 7.73421, -1.19673, 0.23161, 1442"	"-7.84671, 14.23184, -0.55135, 0.58179, 317"	"5.56091, 11.16349, 0.49813, 0.61951, 100"	"-19.52033, 10.98045, -1.77774, 0.08192, 49"	"-0.18679, 0.11771, -1.58697, 0.11985, 45"	"-0.07097, 0.10393, -0.68282, 0.49935, 36"
"White Blood Cell"	"-0.59355, 0.4867, -1.21955, 0.22264, 71003"	"-4.93247, 3.41193, -1.44565, 0.14832, 6221"	"-1.27308, 5.30828, -0.23983, 0.81048, 2501"	"4.50852, 3.62658, 1.24319, 0.21406, 1130"	"0.00069, 0.23326, 0.00294, 0.99765, 730"	"0.00552, 0.01063, 0.51963, 0.60354, 541"	"0.00823, 0.01242, 0.66299, 0.5077, 424"	"0.00985, 0.01406, 0.70056, 0.48402, 367"
"Anxiety"	"-0.01673, 0.02909, -0.57508, 0.56524, 71014"	"-0.31745, 0.64601, -0.4914, 0.62318, 3156"	"-0.60155, 1.41325, -0.42565, 0.67042, 1423"	"-1.84662, 2.81982, -0.65487, 0.51277, 702"	"-2.55575, 4.30429, -0.59377, 0.55296, 456"	"-3.58473, 6.16079, -0.58186, 0.56107, 324"	"-4.30636, 8.31685, -0.51779, 0.60509, 240"	"-4.20877, 9.6473, -0.43626, 0.6631, 209"
"Depression"	"-0.34338, 0.31258, -1.09854, 0.27197, 70214"	"-0.19307, 3.10795, -0.06212, 0.95047, 3657"	"2.63665, 7.35837, 0.35832, 0.7202, 792"	"-7.72561, 15.35494, -0.50314, 0.61573, 131"	"0.84886, 0.35236, 2.40908, 0.02234, 32"	"0.39425, 0.34583, 1.13999, 0.28727, 10"	"0.03353, 0.01918, 1.74766, 0.12402, 9"	"0.02408, 0.0181, 1.33069, 0.23163, 8"
"Diabetes"	"0.00491, 0.01285, 0.38259, 0.70202, 71014"	"0.12729, 0.29072, 0.43784, 0.66153, 3110"	"0.22388, 0.62118, 0.36041, 0.7186, 1459"	"0.21635, 1.08964, 0.19856, 0.84266, 817"	"0.29252, 1.53735, 0.19027, 0.84916, 561"	"0.63011, 2.08556, 0.30213, 0.76271, 412"	"0.80416, 2.51035, 0.32034, 0.74891, 335"	"0.64729, 2.85232, 0.22693, 0.82064, 279"
"Obesity"	"-0.0144, 0.01531, -0.94072, 0.34685, 71014"	"-0.2681, 0.35317, -0.75913, 0.44783, 3072"	"-0.46855, 0.71103, -0.65897, 0.51001, 1509"	"-0.74027, 1.26544, -0.58499, 0.55872, 812"	"-1.03494, 1.81848, -0.56912, 0.5695, 563"	"-1.726, 2.40775, -0.71685, 0.47388, 408"	"-2.06486, 2.84608, -0.72551, 0.46865, 334"	"-2.17325, 3.23035, -0.67276, 0.50165, 286"
"Alzheimer's Disease"	"5e-05, 0.00258, 0.02097, 0.98327, 71014"	"0.01361, 0.0792, 0.17185, 0.86357, 2345"	"0.04074, 0.15152, 0.26887, 0.78807, 1214"	"0.05493, 0.2691, 0.20411, 0.83833, 695"	"0.15172, 0.41554, 0.36511, 0.7152, 461"	"0.26453, 0.5376, 0.49205, 0.62299, 348"	"0.31407, 0.68652, 0.45748, 0.64769, 275"	"0.38188, 0.89245, 0.4279, 0.66914, 222"
