"all (Estimate, Std. Err, Tval, Pval, N)"	"0.05"	"0.01"	"0.001"	"1e-04"	"1e-05"	"1e-06"	"1e-07"
"Height"	"-0.00424, 0.03708, -0.11436, 0.90895, 70878"	"-0.2784, 0.28368, -0.98141, 0.32643, 5668"	"-0.63278, 0.55448, -1.14122, 0.25391, 2179"	"0.04141, 1.09542, 0.0378, 0.96986, 803"	"1.63725, 1.71817, 0.9529, 0.34117, 436"	"2.06384, 1.85676, 1.11152, 0.26734, 270"	"0.25275, 0.35378, 0.71443, 0.47582, 195"	"0.44728, 0.53132, 0.84182, 0.40145, 131"
"Cholesterol"	"-0.02842, 0.03705, -0.76704, 0.44306, 70996"	"-0.17536, 0.25685, -0.68272, 0.49481, 5113"	"1.3559, 0.43552, 3.11331, 0.00188, 1806"	"2.38016, 0.61388, 3.87725, 0.00012, 734"	"0.00498, 0.01437, 0.34633, 0.72927, 429"	"-0.00146, 0.00123, -1.18653, 0.23633, 311"	"-0.00139, 0.00155, -0.89712, 0.37058, 235"	"-0.00143, 0.00173, -0.82623, 0.40968, 198"
"BMI"	"0.02086, 0.03704, 0.56302, 0.57342, 71013"	"-0.27192, 0.23359, -1.16406, 0.24444, 6078"	"-0.43677, 0.38785, -1.12613, 0.26023, 2259"	"-0.10342, 0.21229, -0.48715, 0.62628, 853"	"-1e-04, 0.0021, -0.04609, 0.96326, 437"	"-0.00034, 0.00083, -0.41668, 0.67726, 262"	"3e-05, 0.00071, 0.03627, 0.97111, 173"	"0.00032, 0.00086, 0.37, 0.71204, 121"
"Asthma"	"-0.00642, 0.03739, -0.17177, 0.86362, 69888"	"0.46953, 0.46608, 1.00741, 0.3138, 4276"	"1.64641, 1.05859, 1.55528, 0.1201, 1442"	"1.8442, 1.95175, 0.9449, 0.34544, 317"	"0.78229, 1.52057, 0.51447, 0.60808, 100"	"0.70753, 1.47866, 0.4785, 0.63452, 49"	"0.00646, 0.01535, 0.42049, 0.67622, 45"	"0.00024, 0.0128, 0.01849, 0.98536, 36"
"White Blood Cell"	"-0.0166, 0.03705, -0.44812, 0.65407, 71003"	"0.04479, 0.25767, 0.17384, 0.862, 6221"	"1.13172, 0.39595, 2.85827, 0.00429, 2501"	"0.02948, 0.26704, 0.1104, 0.91211, 1130"	"-0.01485, 0.01697, -0.87486, 0.38194, 730"	"-0.00129, 0.00078, -1.66618, 0.09626, 541"	"-0.00172, 0.00089, -1.92772, 0.05456, 424"	"-0.00168, 0.001, -1.67595, 0.0946, 367"
"Anxiety"	"-0.01399, 0.03704, -0.37778, 0.70559, 71014"	"-0.13549, 0.80872, -0.16754, 0.86696, 3156"	"-0.33245, 1.77749, -0.18703, 0.85166, 1423"	"-0.77566, 3.5689, -0.21734, 0.82801, 702"	"-1.40428, 5.44931, -0.2577, 0.79676, 456"	"-1.38129, 7.80813, -0.1769, 0.8597, 324"	"-2.18618, 10.62275, -0.2058, 0.83712, 240"	"-1.25886, 12.26606, -0.10263, 0.91836, 209"
"Depression"	"0.01905, 0.0373, 0.5109, 0.60942, 70214"	"0.62257, 0.36769, 1.69317, 0.09051, 3657"	"0.38956, 0.85704, 0.45454, 0.64957, 792"	"-1.65692, 1.67513, -0.98913, 0.32445, 131"	"0.0321, 0.04356, 0.73684, 0.46694, 32"	"0.00518, 0.04995, 0.10365, 0.92, 10"	"-0.00181, 0.00281, -0.64513, 0.5394, 9"	"-0.00131, 0.00242, -0.54047, 0.60833, 8"
"Diabetes"	"0.00809, 0.03704, 0.21851, 0.82703, 71014"	"0.49704, 0.84291, 0.58967, 0.55546, 3110"	"1.14822, 1.80832, 0.63496, 0.52555, 1459"	"1.58871, 3.15089, 0.50421, 0.61425, 817"	"2.14181, 4.31083, 0.49685, 0.61949, 561"	"3.73742, 5.89579, 0.63391, 0.52649, 412"	"5.09043, 7.13796, 0.71315, 0.47625, 335"	"5.68245, 7.99292, 0.71093, 0.47772, 279"
"Obesity"	"-0.00516, 0.03704, -0.13919, 0.8893, 71014"	"0.12479, 0.84805, 0.14715, 0.88302, 3072"	"0.34382, 1.7053, 0.20162, 0.84024, 1509"	"0.18677, 3.03065, 0.06163, 0.95088, 812"	"-0.19573, 4.38433, -0.04464, 0.96441, 563"	"-1.3009, 5.8101, -0.2239, 0.82295, 408"	"-2.26348, 6.95448, -0.32547, 0.74503, 334"	"-2.86174, 7.87686, -0.36331, 0.71664, 286"
"Alzheimer's Disease"	"-0.04868, 0.03704, -1.31426, 0.18876, 71014"	"-0.78633, 1.12321, -0.70007, 0.48395, 2345"	"-1.42319, 2.14903, -0.66225, 0.50794, 1214"	"-2.22393, 3.8375, -0.57953, 0.56242, 695"	"-2.28447, 5.93443, -0.38495, 0.70045, 461"	"-3.08273, 7.70886, -0.39989, 0.68948, 348"	"-5.63337, 9.89074, -0.56956, 0.56944, 275"	"-6.2498, 13.33336, -0.46873, 0.63972, 222"
